"","featurekey","Module"
"301","ABCC4",8
"302","NRP1",5
"303","ESYT2",9
"304","ACKR3",6
"305","KBTBD12",8
"306","MAN1A1",5
"307","MYO1E",5
"308","JAML",5
"309","CHST11",7
"310","ADAM8",6
"311","RBMS1",5
"312","RASGRF2",11
"313","TLN2",8
"314","OXR1",8
"315","RPL6",1
"316","TOP2A",3
"317","TBC1D2",6
"318","HRH1",5
"319","SPATS2L",2
"320","SGK1",10
"321","MCF2L2",2
"322","RPS16",1
"323","RRM2",3
"324","INPP5D",8
"325","SLC22A23",4
"326","RPS13",1
"327","CLIP4",6
"328","HLA-DRA",1
"329","TCF4",4
"330","PRDM11",8
"331","CDK14",6
"332","KNL1",3
"333","PDE8A",4
"334","CECR2",8
"335","PLPP3",6
"336","SDC2",6
"337","MSR1",4
"338","BCL6",7
"339","MTSS1",5
"340","ERO1A",9
"341","CHD1",4
"342","AFF3",5
"343","FAM20A",5
"344","THEMIS2",4
"345","ADAM28",8
"346","LRRK1",8
"347","MPPED2",5
"348","ERGIC1",4
"349","RPL36",1
"350","ZFP36L2",11
"351","SH3PXD2B",4
"352","CACNA1A",8
"353","PALD1",8
"354","SLC1A3",7
"355","CENPK",3
"356","EREG",6
"357","USPL1",2
"358","ATG7",5
"359","CD72",6
"360","MEF2C",8
"361","IL7",5
"362","CYTH1",4
"363","ENO4",11
"364","KHDRBS3",8
"365","CCND3",8
"366","SHTN1",8
"367","ITGAX",6
"368","EEPD1",6
"369","HERC4",2
"370","B2M",1
"371","RPL10A",1
"372","TFRC",4
"373","HNRNPU",2
"374","EIF1",1
"375","ATP13A3",4
"376","RNMT",9
"377","PDE4B",4
"378","BLNK",8
"379","CD74",1
"380","HELLS",3
"381","LPCAT1",9
"382","KIF18B",3
"383","HK2",9
"384","FYB1",7
"385","GPR155",4
"386","NIBAN1",7
"387","MGAT1",9
"388","MCF2L",8
"389","HSPA4",2
"390","CCL2",10
"391","BUB1B",3
"392","TPST1",6
"393","ARHGAP24",8
"394","TFPI",6
"395","SPC25",3
"396","SRGAP2",8
"397","NDRG1",6
"398","MARCHF1",7
"399","SPECC1",2
"400","MAP3K8",4
"401","MKI67",3
"402","ACER3",7
"403","ARHGAP18",5
"404","ETV6",7
"405","PDE3B",4
"406","RPS7",1
"407","JAZF1",7
"408","RBM47",5
"409","BACH1",7
"410","PLXNC1",6
"411","MERTK",5
"412","FCHSD2",7
"413","ATAD2",3
"414","RPL35A",1
"415","MARCO",5
"416","JARID2",4
"417","YBX1",1
"418","RPS9",1
